OSC Address	Type	Default value	Has Range	Range Minimum	Range Maximum
/source1/granulatorDensity	f	1	y	0.2	50
/source1/granulatorDetune	f	0	y	0	0.5
/source1/granulatorDiffusion	f	10	y	1	2000
/source1/granulatorDrywet	f	0	y	0	1
/source1/granulatorDuration	f	50	y	5	5000
/source1/granulatorEnable	i (boolean)	false	n	-	-
/source1/granulatorIrregularity	f	1	y	0	2
/source1/granulatorPitch	f	1	y	0.5	2
/source1/granulatorShape	enum	0	n	-	-
/source1/granulatorTranspose	f	0	y	-24	24
/source1/grids/satellites/articulation	f	0	y	-1	1
/source1/grids/satellites/boostLevel	f	0	y	0	1
/source1/grids/satellites/level	f	1	y	0	1
/source1/grids/satellites/orthogonalProjection	i (boolean)	false	n	-	-
/source1/grids/satellites/projectionPoint	f f f	0	n	-	-
/source1/hue	f	0	y	0	360
/source1/inputDistanceIntensityCurvature	f	0	y	-1	1
/source1/inputDistanceIntensityEnable	i (boolean)	false	n	-	-
/source1/inputDistanceIntensityThreshold	f	100	y	0	1000
/source1/inputGain	f	1	y	0	1
/source1/inputPosition	f f f	0	n	-	-
/source1/inputRotation	f f f	0	y	-360	360
/source1/invertX	i (boolean)	false	n	-	-
/source1/invertY	i (boolean)	false	n	-	-
/source1/invertZ	i (boolean)	false	n	-	-
/source1/modulationEnable	i (boolean)	false	n	-	-
/source1/modulationScale	f	1	y	0	100
/source1/modulationSpeed	f	0	y	0	20
/source1/modulationXDepth	f	1	y	0	100
/source1/modulationXEnable	i (boolean)	false	n	-	-
/source1/modulationXFrequency	f	1	y	0	100
/source1/modulationXInvert	i (boolean)	false	n	-	-
/source1/modulationXMode	enum	0	n	-	-
/source1/modulationXPhase	f	0	y	0	1
/source1/modulationXPower	f	1	y	0	10
/source1/modulationYDepth	f	1	y	0	100
/source1/modulationYEnable	i (boolean)	false	n	-	-
/source1/modulationYFrequency	f	1	y	0	100
/source1/modulationYInvert	i (boolean)	false	n	-	-
/source1/modulationYMode	enum	0	n	-	-
/source1/modulationYPhase	f	0	y	0	1
/source1/modulationYPower	f	1	y	0	10
/source1/modulationZDepth	f	1	y	0	100
/source1/modulationZEnable	i (boolean)	false	n	-	-
/source1/modulationZFrequency	f	1	y	0	100
/source1/modulationZInvert	i (boolean)	false	n	-	-
/source1/modulationZMode	enum	0	n	-	-
/source1/modulationZPhase	f	0	y	0	1
/source1/modulationZPower	f	1	y	0	10
/source1/particleDimensions	f f f	1	y	0	20
/source1/particleInputGainScaling	f	0.5	y	0.5	1
/source1/particleScale	f	0	y	0	10
/source1/particleVisualization/visible	i (boolean)	true	n	-	-
/source1/path/dimensions	f f f	1	n	-	-
/source1/path/phase	f	0	y	0	1
/source1/path/rotation	f f f	0	y	-360	360
/source1/path/scale	f	1	y	0	10
/source1/path/type	enum	0	n	-	-
/source1/pathEnable	i (boolean)	false	n	-	-
/source1/pathVisualization/visible	i (boolean)	true	n	-	-
/source1/plasma/deviation	f	1	y	0	10
/source1/plasma/duration	f	1000	y	0	10000
/source1/plasma/field	f f f	10	n	-	-
/source1/plasma/reset	i (boolean)	false	n	-	-
/source1/plasma/scale	f	1	y	0	10
/source1/plasma/steps	i	7	y	1	100
/source1/plasma/trigger	i (boolean)	false	n	-	-
/source1/plasmaEnable	i (boolean)	true	n	-	-
/source1/position	f f f	0	n	-	-
/source1/positionRotation	f f f	0	y	-360	360
/source1/resonance/filter1/bandwidth	f	1	y	0	10000
/source1/resonance/filter1/centerFrequency	f	100	y	0	10000
/source1/resonance/filter1/level	f	1	y	0	2
/source1/resonance/filter2/bandwidth	f	2	y	0	10000
/source1/resonance/filter2/centerFrequency	f	200	y	0	10000
/source1/resonance/filter2/level	f	1	y	0	2
/source1/resonance/filter3/bandwidth	f	3	y	0	10000
/source1/resonance/filter3/centerFrequency	f	300	y	0	10000
/source1/resonance/filter3/level	f	1	y	0	2
/source1/resonance/filter4/bandwidth	f	4	y	0	10000
/source1/resonance/filter4/centerFrequency	f	400	y	0	10000
/source1/resonance/filter4/level	f	1	y	0	2
/source1/resonance/filter5/bandwidth	f	5	y	0	10000
/source1/resonance/filter5/centerFrequency	f	500	y	0	10000
/source1/resonance/filter5/level	f	1	y	0	2
/source1/resonance/filter6/bandwidth	f	6	y	0	10000
/source1/resonance/filter6/centerFrequency	f	600	y	0	10000
/source1/resonance/filter6/level	f	1	y	0	2
/source1/resonance/filter7/bandwidth	f	7	y	0	10000
/source1/resonance/filter7/centerFrequency	f	700	y	0	10000
/source1/resonance/filter7/level	f	1	y	0	2
/source1/resonance/filter8/bandwidth	f	8	y	0	10000
/source1/resonance/filter8/centerFrequency	f	800	y	0	10000
/source1/resonance/filter8/level	f	1	y	0	2
/source1/resonanceBandwidthMultiply	f	1	y	0	100
/source1/resonanceDry	f	0	y	0	1
/source1/resonanceEnable	i (boolean)	false	n	-	-
/source1/resonanceFrequencyDeviation	f	0	y	0	100
/source1/resonanceFrequencyDeviationPattern	i (boolean)	false	n	-	-
/source1/resonanceFrequencyMultiply	f	1	y	0	20
/source1/resonanceFrequencyShift	f	1	y	-10000	10000
/source1/resonanceGainBoost	f	1	y	1	4
/source1/resonanceMode	enum	0	n	-	-
/source1/resonancePartialCount	i	8	y	1	8
/source1/resonanceShapeScaleEnable	i (boolean)	false	n	-	-
/source1/resonanceWet	f	1	y	0	1
/source1/reverbDamping	f	0.5	y	0	1
/source1/reverbDrywet	f	1	y	0	1
/source1/reverbEnable	i (boolean)	false	n	-	-
/source1/reverbFb1	f	0.9	y	0	1
/source1/reverbFb2	f	0.7	y	0	1
/source1/reverbMode	enum	0	n	-	-
/source1/reverbSpread	f	0.2	y	0	1
/source1/rotationAngleAxis	f f f f	0	n	-	-
/source1/rotationMode	enum	0	n	-	-
/source1/shake/duration	f	1000	y	0	10000
/source1/shake/field	f f f	10	n	-	-
/source1/shake/reset	i (boolean)	false	n	-	-
/source1/shake/scale	f	1	y	0	10
/source1/shake/trigger	i (boolean)	false	n	-	-
/source1/shakeEnable	i (boolean)	true	n	-	-
/source1/shape/dimensions	f f f	1	n	-	-
/source1/shape/fillMode	enum	0	n	-	-
/source1/shape/hollow	i (boolean)	false	n	-	-
/source1/shape/latticeSpacing	f	1	y	0.05	10
/source1/shape/resolution	i	1	y	1	10
/source1/shape/scale	f	1	y	0	10
/source1/shape/speed	f	1	y	-10	10
/source1/shape/type	enum	0	n	-	-
/source1/shapeVisualization/visible	i (boolean)	true	n	-	-
/source1/shapes/archimedeanSpiral/a	f	0.2	y	0	1
/source1/shapes/archimedeanSpiral/b	f	0	y	0	1
/source1/shapes/circleTorus/a	f	1	y	0	2
/source1/shapes/helix/a	f	1	y	0	1
/source1/shapes/helix/b	f	0.1	y	0	1
/source1/shapes/helix/c	f	0.9	y	0	1
/source1/shapes/pythonTest/happy	f	1	y	-1	1
/source1/shapes/spiralTorus/a	f	1	y	0	10
/source1/shapes/spiralTorus/b	f	1	y	0	10
/source1/shapes/spiralTorus/c	f	1	y	0	10
/source1/shapes/tripleSpiral/a	f	0.2	y	0	1
/source1/shapes/tripleSpiral/b	f	0	y	0	1
/source1/spasm/duration	f	1000	y	0	10000
/source1/spasm/field	f f f	10	n	-	-
/source1/spasm/reset	i (boolean)	false	n	-	-
/source1/spasm/scale	f	1	y	0	10
/source1/spasm/steps	i	7	y	1	100
/source1/spasm/trigger	i (boolean)	false	n	-	-
/source1/spasmEnable	i (boolean)	true	n	-	-
/source1/spatialdelayDrywet	f	0	y	0	1
/source1/spatialdelayEnable	i (boolean)	false	n	-	-
/source1/spatialdelayFeedback	f	0	y	0	0.99
/source1/spatialdelaySmooth	f	0.05	y	0	1
/source1/spatialdelayTimeDistanceScale	f	20	y	0	100
/source1/spatialdelayTimeDopplerScale	f	20	y	0	100
/source1/spatialdelayTimeNoiseDepth	f	0	y	0	1
/source1/spatialdelayTimeNoiseSpeed	f	1	y	0	100
/source1/spatialdelayTimePeripheralScale	f	20	y	0	100
/source1/spatialdelayTimeRandomPatternScale	f	20	y	0	100
/source1/spatialdelayTimeRandomValueTrigger	i (boolean)	false	n	-	-
/source1/transformations/global1Enable	i (boolean)	false	n	-	-
/source1/transformations/global2Enable	i (boolean)	false	n	-	-
/source1/transformations/global3Enable	i (boolean)	false	n	-	-
/source1/transformations/source2Enable	i (boolean)	false	n	-	-
/source1/transformations/source3Enable	i (boolean)	false	n	-	-
/source1/transformations/source4Enable	i (boolean)	false	n	-	-
/source1/vantagePoint	f f f	0	n	-	-
/source2/anchorPoint	f f f	0	n	-	-
/source2/axesHelper/visible	i (boolean)	true	n	-	-
/source2/color	f f f	0	y	0	1
/source2/distanceDampingCurvature	f	-0.4	y	-1	1
/source2/distanceDampingEnable	i (boolean)	false	n	-	-
/source2/distanceDampingThreshold	f	100	y	0.001	1000
/source2/distanceIntensityCurvature	f	-0.4	y	-1	1
/source2/distanceIntensityEnable	i (boolean)	false	n	-	-
/source2/distanceIntensityThreshold	f	100	y	0.001	1000
/source2/distanceReverbCurvature	f	-0.4	y	-1	1
/source2/distanceReverbThreshold	f	100	y	0.001	1000
/source2/dryGain	f	1	y	0	1
/source2/elevationFilterAboveContrast	f	1	y	0	1
/source2/elevationFilterAboveCurvature	f	0.4	y	-1	1
/source2/elevationFilterAboveEnable	i (boolean)	false	n	-	-
/source2/elevationFilterAboveThreshold	f	100	y	0.001	1000
/source2/elevationFilterBelowContrast	f	1	y	0	1
/source2/elevationFilterBelowCurvature	f	0.4	y	-1	1
/source2/elevationFilterBelowEnable	i (boolean)	false	n	-	-
/source2/elevationFilterBelowThreshold	f	100	y	0.001	1000
/source2/externalInputChannel	i	1	y	1	64
/source2/externalInputEnable	i (boolean)	true	n	-	-
/source2/follow	enum	0	n	-	-
/source2/granulatorAmplitude	f	1	y	0	10
/source2/granulatorAmplitudeDev	f	0	y	0	1
/source2/granulatorAttackDecay	f	0	y	0	100
/source2/granulatorDensity	f	1	y	0.2	50
/source2/granulatorDetune	f	0	y	0	0.5
/source2/granulatorDiffusion	f	10	y	1	2000
/source2/granulatorDrywet	f	0	y	0	1
/source2/granulatorDuration	f	50	y	5	5000
/source2/granulatorEnable	i (boolean)	false	n	-	-
/source2/granulatorIrregularity	f	1	y	0	2
/source2/granulatorPitch	f	1	y	0.5	2
/source2/granulatorShape	enum	0	n	-	-
/source2/granulatorTranspose	f	0	y	-24	24
/source2/grids/satellites/articulation	f	0	y	-1	1
/source2/grids/satellites/boostLevel	f	0	y	0	1
/source2/grids/satellites/level	f	1	y	0	1
/source2/grids/satellites/orthogonalProjection	i (boolean)	false	n	-	-
/source2/grids/satellites/projectionPoint	f f f	0	n	-	-
/source2/hue	f	0	y	0	360
/source2/inputDistanceIntensityCurvature	f	0	y	-1	1
/source2/inputDistanceIntensityEnable	i (boolean)	false	n	-	-
/source2/inputDistanceIntensityThreshold	f	100	y	0	1000
/source2/inputGain	f	1	y	0	1
/source2/inputPosition	f f f	0	n	-	-
/source2/inputRotation	f f f	0	y	-360	360
/source2/invertX	i (boolean)	false	n	-	-
/source2/invertY	i (boolean)	false	n	-	-
/source2/invertZ	i (boolean)	false	n	-	-
/source2/modulationEnable	i (boolean)	false	n	-	-
/source2/modulationScale	f	1	y	0	100
/source2/modulationSpeed	f	0	y	0	20
/source2/modulationXDepth	f	1	y	0	100
/source2/modulationXEnable	i (boolean)	false	n	-	-
/source2/modulationXFrequency	f	1	y	0	100
/source2/modulationXInvert	i (boolean)	false	n	-	-
/source2/modulationXMode	enum	0	n	-	-
/source2/modulationXPhase	f	0	y	0	1
/source2/modulationXPower	f	1	y	0	10
/source2/modulationYDepth	f	1	y	0	100
/source2/modulationYEnable	i (boolean)	false	n	-	-
/source2/modulationYFrequency	f	1	y	0	100
/source2/modulationYInvert	i (boolean)	false	n	-	-
/source2/modulationYMode	enum	0	n	-	-
/source2/modulationYPhase	f	0	y	0	1
/source2/modulationYPower	f	1	y	0	10
/source2/modulationZDepth	f	1	y	0	100
/source2/modulationZEnable	i (boolean)	false	n	-	-
/source2/modulationZFrequency	f	1	y	0	100
/source2/modulationZInvert	i (boolean)	false	n	-	-
/source2/modulationZMode	enum	0	n	-	-
/source2/modulationZPhase	f	0	y	0	1
/source2/modulationZPower	f	1	y	0	10
/source2/particleDimensions	f f f	1	y	0	20
/source2/particleInputGainScaling	f	0.5	y	0.5	1
/source2/particleScale	f	0	y	0	10
/source2/particleVisualization/visible	i (boolean)	true	n	-	-
/source2/path/dimensions	f f f	1	n	-	-
/source2/path/phase	f	0	y	0	1
/source2/path/rotation	f f f	0	y	-360	360
/source2/path/scale	f	1	y	0	10
/source2/path/type	enum	0	n	-	-
/source2/pathEnable	i (boolean)	false	n	-	-
/source2/pathVisualization/visible	i (boolean)	true	n	-	-
/source2/plasma/deviation	f	1	y	0	10
/source2/plasma/duration	f	1000	y	0	10000
/source2/plasma/field	f f f	10	n	-	-
/source2/plasma/reset	i (boolean)	false	n	-	-
/source2/plasma/scale	f	1	y	0	10
/source2/plasma/steps	i	7	y	1	100
/source2/plasma/trigger	i (boolean)	false	n	-	-
/source2/plasmaEnable	i (boolean)	true	n	-	-
/source2/position	f f f	0	n	-	-
/source2/positionRotation	f f f	0	y	-360	360
/source2/resonance/filter1/bandwidth	f	1	y	0	10000
/source2/resonance/filter1/centerFrequency	f	100	y	0	10000
/source2/resonance/filter1/level	f	1	y	0	2
/source2/resonance/filter2/bandwidth	f	2	y	0	10000
/source2/resonance/filter2/centerFrequency	f	200	y	0	10000
/source2/resonance/filter2/level	f	1	y	0	2
/source2/resonance/filter3/bandwidth	f	3	y	0	10000
/source2/resonance/filter3/centerFrequency	f	300	y	0	10000
/source2/resonance/filter3/level	f	1	y	0	2
/source2/resonance/filter4/bandwidth	f	4	y	0	10000
/source2/resonance/filter4/centerFrequency	f	400	y	0	10000
/source2/resonance/filter4/level	f	1	y	0	2
/source2/resonance/filter5/bandwidth	f	5	y	0	10000
/source2/resonance/filter5/centerFrequency	f	500	y	0	10000
/source2/resonance/filter5/level	f	1	y	0	2
/source2/resonance/filter6/bandwidth	f	6	y	0	10000
/source2/resonance/filter6/centerFrequency	f	600	y	0	10000
/source2/resonance/filter6/level	f	1	y	0	2
/source2/resonance/filter7/bandwidth	f	7	y	0	10000
/source2/resonance/filter7/centerFrequency	f	700	y	0	10000
/source2/resonance/filter7/level	f	1	y	0	2
/source2/resonance/filter8/bandwidth	f	8	y	0	10000
/source2/resonance/filter8/centerFrequency	f	800	y	0	10000
/source2/resonance/filter8/level	f	1	y	0	2
/source2/resonanceBandwidthMultiply	f	1	y	0	100
/source2/resonanceDry	f	0	y	0	1
/source2/resonanceEnable	i (boolean)	false	n	-	-
/source2/resonanceFrequencyDeviation	f	0	y	0	100
/source2/resonanceFrequencyDeviationPattern	i (boolean)	false	n	-	-
/source2/resonanceFrequencyMultiply	f	1	y	0	20
/source2/resonanceFrequencyShift	f	1	y	-10000	10000
/source2/resonanceGainBoost	f	1	y	1	4
/source2/resonanceMode	enum	0	n	-	-
/source2/resonancePartialCount	i	8	y	1	8
/source2/resonanceShapeScaleEnable	i (boolean)	false	n	-	-
/source2/resonanceWet	f	1	y	0	1
/source2/reverbDamping	f	0.5	y	0	1
/source2/reverbDrywet	f	1	y	0	1
/source2/reverbEnable	i (boolean)	false	n	-	-
/source2/reverbFb1	f	0.9	y	0	1
/source2/reverbFb2	f	0.7	y	0	1
/source2/reverbMode	enum	0	n	-	-
/source2/reverbSpread	f	0.2	y	0	1
/source2/rotationAngleAxis	f f f f	0	n	-	-
/source2/rotationMode	enum	0	n	-	-
/source2/shake/duration	f	1000	y	0	10000
/source2/shake/field	f f f	10	n	-	-
/source2/shake/reset	i (boolean)	false	n	-	-
/source2/shake/scale	f	1	y	0	10
/source2/shake/trigger	i (boolean)	false	n	-	-
/source2/shakeEnable	i (boolean)	true	n	-	-
/source2/shape/dimensions	f f f	1	n	-	-
/source2/shape/fillMode	enum	0	n	-	-
/source2/shape/hollow	i (boolean)	false	n	-	-
/source2/shape/latticeSpacing	f	1	y	0.05	10
/source2/shape/resolution	i	1	y	1	10
/source2/shape/scale	f	1	y	0	10
/source2/shape/speed	f	1	y	-10	10
/source2/shape/type	enum	0	n	-	-
/source2/shapeVisualization/visible	i (boolean)	true	n	-	-
/source2/shapes/archimedeanSpiral/a	f	0.2	y	0	1
/source2/shapes/archimedeanSpiral/b	f	0	y	0	1
/source2/shapes/circleTorus/a	f	1	y	0	2
/source2/shapes/helix/a	f	1	y	0	1
/source2/shapes/helix/b	f	0.1	y	0	1
/source2/shapes/helix/c	f	0.9	y	0	1
/source2/shapes/pythonTest/happy	f	1	y	-1	1
/source2/shapes/spiralTorus/a	f	1	y	0	10
/source2/shapes/spiralTorus/b	f	1	y	0	10
/source2/shapes/spiralTorus/c	f	1	y	0	10
/source2/shapes/tripleSpiral/a	f	0.2	y	0	1
/source2/shapes/tripleSpiral/b	f	0	y	0	1
/source2/spasm/duration	f	1000	y	0	10000
/source2/spasm/field	f f f	10	n	-	-
/source2/spasm/reset	i (boolean)	false	n	-	-
/source2/spasm/scale	f	1	y	0	10
/source2/spasm/steps	i	7	y	1	100
/source2/spasm/trigger	i (boolean)	false	n	-	-
/source2/spasmEnable	i (boolean)	true	n	-	-
/source2/spatialdelayDrywet	f	0	y	0	1
/source2/spatialdelayEnable	i (boolean)	false	n	-	-
/source2/spatialdelayFeedback	f	0	y	0	0.99
/source2/spatialdelaySmooth	f	0.05	y	0	1
/source2/spatialdelayTimeDistanceScale	f	20	y	0	100
/source2/spatialdelayTimeDopplerScale	f	20	y	0	100
/source2/spatialdelayTimeNoiseDepth	f	0	y	0	1
/source2/spatialdelayTimeNoiseSpeed	f	1	y	0	100
/source2/spatialdelayTimePeripheralScale	f	20	y	0	100
/source2/spatialdelayTimeRandomPatternScale	f	20	y	0	100
/source2/spatialdelayTimeRandomValueTrigger	i (boolean)	false	n	-	-
/source2/transformations/global1Enable	i (boolean)	false	n	-	-
/source2/transformations/global2Enable	i (boolean)	false	n	-	-
/source2/transformations/global3Enable	i (boolean)	false	n	-	-
/source2/transformations/source1Enable	i (boolean)	false	n	-	-
/source2/transformations/source3Enable	i (boolean)	false	n	-	-
/source2/transformations/source4Enable	i (boolean)	false	n	-	-
/source2/vantagePoint	f f f	0	n	-	-
/source3/anchorPoint	f f f	0	n	-	-
/source3/axesHelper/visible	i (boolean)	true	n	-	-
/source3/color	f f f	0	y	0	1
/source3/distanceDampingCurvature	f	-0.4	y	-1	1
/source3/distanceDampingEnable	i (boolean)	false	n	-	-
/source3/distanceDampingThreshold	f	100	y	0.001	1000
/source3/distanceIntensityCurvature	f	-0.4	y	-1	1
/source3/distanceIntensityEnable	i (boolean)	false	n	-	-
/source3/distanceIntensityThreshold	f	100	y	0.001	1000
/source3/distanceReverbCurvature	f	-0.4	y	-1	1
/source3/distanceReverbThreshold	f	100	y	0.001	1000
/source3/dryGain	f	1	y	0	1
/source3/elevationFilterAboveContrast	f	1	y	0	1
/source3/elevationFilterAboveCurvature	f	0.4	y	-1	1
/source3/elevationFilterAboveEnable	i (boolean)	false	n	-	-
/source3/elevationFilterAboveThreshold	f	100	y	0.001	1000
/source3/elevationFilterBelowContrast	f	1	y	0	1
/source3/elevationFilterBelowCurvature	f	0.4	y	-1	1
/source3/elevationFilterBelowEnable	i (boolean)	false	n	-	-
/source3/elevationFilterBelowThreshold	f	100	y	0.001	1000
/source3/externalInputChannel	i	1	y	1	64
/source3/externalInputEnable	i (boolean)	true	n	-	-
/source3/follow	enum	0	n	-	-
/source3/granulatorAmplitude	f	1	y	0	10
/source3/granulatorAmplitudeDev	f	0	y	0	1
/source3/granulatorAttackDecay	f	0	y	0	100
/source3/granulatorDensity	f	1	y	0.2	50
/source3/granulatorDetune	f	0	y	0	0.5
/source3/granulatorDiffusion	f	10	y	1	2000
/source3/granulatorDrywet	f	0	y	0	1
/source3/granulatorDuration	f	50	y	5	5000
/source3/granulatorEnable	i (boolean)	false	n	-	-
/source3/granulatorIrregularity	f	1	y	0	2
/source3/granulatorPitch	f	1	y	0.5	2
/source3/granulatorShape	enum	0	n	-	-
/source3/granulatorTranspose	f	0	y	-24	24
/source3/grids/satellites/articulation	f	0	y	-1	1
/source3/grids/satellites/boostLevel	f	0	y	0	1
/source3/grids/satellites/level	f	1	y	0	1
/source3/grids/satellites/orthogonalProjection	i (boolean)	false	n	-	-
/source3/grids/satellites/projectionPoint	f f f	0	n	-	-
/source3/hue	f	0	y	0	360
/source3/inputDistanceIntensityCurvature	f	0	y	-1	1
/source3/inputDistanceIntensityEnable	i (boolean)	false	n	-	-
/source3/inputDistanceIntensityThreshold	f	100	y	0	1000
/source3/inputGain	f	1	y	0	1
/source3/inputPosition	f f f	0	n	-	-
/source3/inputRotation	f f f	0	y	-360	360
/source3/invertX	i (boolean)	false	n	-	-
/source3/invertY	i (boolean)	false	n	-	-
/source3/invertZ	i (boolean)	false	n	-	-
/source3/modulationEnable	i (boolean)	false	n	-	-
/source3/modulationScale	f	1	y	0	100
/source3/modulationSpeed	f	0	y	0	20
/source3/modulationXDepth	f	1	y	0	100
/source3/modulationXEnable	i (boolean)	false	n	-	-
/source3/modulationXFrequency	f	1	y	0	100
/source3/modulationXInvert	i (boolean)	false	n	-	-
/source3/modulationXMode	enum	0	n	-	-
/source3/modulationXPhase	f	0	y	0	1
/source3/modulationXPower	f	1	y	0	10
/source3/modulationYDepth	f	1	y	0	100
/source3/modulationYEnable	i (boolean)	false	n	-	-
/source3/modulationYFrequency	f	1	y	0	100
/source3/modulationYInvert	i (boolean)	false	n	-	-
/source3/modulationYMode	enum	0	n	-	-
/source3/modulationYPhase	f	0	y	0	1
/source3/modulationYPower	f	1	y	0	10
/source3/modulationZDepth	f	1	y	0	100
/source3/modulationZEnable	i (boolean)	false	n	-	-
/source3/modulationZFrequency	f	1	y	0	100
/source3/modulationZInvert	i (boolean)	false	n	-	-
/source3/modulationZMode	enum	0	n	-	-
/source3/modulationZPhase	f	0	y	0	1
/source3/modulationZPower	f	1	y	0	10
/source3/particleDimensions	f f f	1	y	0	20
/source3/particleInputGainScaling	f	0.5	y	0.5	1
/source3/particleScale	f	0	y	0	10
/source3/particleVisualization/visible	i (boolean)	true	n	-	-
/source3/path/dimensions	f f f	1	n	-	-
/source3/path/phase	f	0	y	0	1
/source3/path/rotation	f f f	0	y	-360	360
/source3/path/scale	f	1	y	0	10
/source3/path/type	enum	0	n	-	-
/source3/pathEnable	i (boolean)	false	n	-	-
/source3/pathVisualization/visible	i (boolean)	true	n	-	-
/source3/plasma/deviation	f	1	y	0	10
/source3/plasma/duration	f	1000	y	0	10000
/source3/plasma/field	f f f	10	n	-	-
/source3/plasma/reset	i (boolean)	false	n	-	-
/source3/plasma/scale	f	1	y	0	10
/source3/plasma/steps	i	7	y	1	100
/source3/plasma/trigger	i (boolean)	false	n	-	-
/source3/plasmaEnable	i (boolean)	true	n	-	-
/source3/position	f f f	0	n	-	-
/source3/positionRotation	f f f	0	y	-360	360
/source3/receive1	f	0	y	0	2
/source3/receive2	f	0	y	0	2
/source3/resonance/filter1/bandwidth	f	1	y	0	10000
/source3/resonance/filter1/centerFrequency	f	100	y	0	10000
/source3/resonance/filter1/level	f	1	y	0	2
/source3/resonance/filter2/bandwidth	f	2	y	0	10000
/source3/resonance/filter2/centerFrequency	f	200	y	0	10000
/source3/resonance/filter2/level	f	1	y	0	2
/source3/resonance/filter3/bandwidth	f	3	y	0	10000
/source3/resonance/filter3/centerFrequency	f	300	y	0	10000
/source3/resonance/filter3/level	f	1	y	0	2
/source3/resonance/filter4/bandwidth	f	4	y	0	10000
/source3/resonance/filter4/centerFrequency	f	400	y	0	10000
/source3/resonance/filter4/level	f	1	y	0	2
/source3/resonance/filter5/bandwidth	f	5	y	0	10000
/source3/resonance/filter5/centerFrequency	f	500	y	0	10000
/source3/resonance/filter5/level	f	1	y	0	2
/source3/resonance/filter6/bandwidth	f	6	y	0	10000
/source3/resonance/filter6/centerFrequency	f	600	y	0	10000
/source3/resonance/filter6/level	f	1	y	0	2
/source3/resonance/filter7/bandwidth	f	7	y	0	10000
/source3/resonance/filter7/centerFrequency	f	700	y	0	10000
/source3/resonance/filter7/level	f	1	y	0	2
/source3/resonance/filter8/bandwidth	f	8	y	0	10000
/source3/resonance/filter8/centerFrequency	f	800	y	0	10000
/source3/resonance/filter8/level	f	1	y	0	2
/source3/resonanceBandwidthMultiply	f	1	y	0	100
/source3/resonanceDry	f	0	y	0	1
/source3/resonanceEnable	i (boolean)	false	n	-	-
/source3/resonanceFrequencyDeviation	f	0	y	0	100
/source3/resonanceFrequencyDeviationPattern	i (boolean)	false	n	-	-
/source3/resonanceFrequencyMultiply	f	1	y	0	20
/source3/resonanceFrequencyShift	f	1	y	-10000	10000
/source3/resonanceGainBoost	f	1	y	1	4
/source3/resonanceMode	enum	0	n	-	-
/source3/resonancePartialCount	i	8	y	1	8
/source3/resonanceShapeScaleEnable	i (boolean)	false	n	-	-
/source3/resonanceWet	f	1	y	0	1
/source3/reverbDamping	f	0.5	y	0	1
/source3/reverbDrywet	f	1	y	0	1
